draw,obs,events,peer_firms,mean_ai_active,mean_car_0_p1_mm,mean_car_m1_p1_mm
82,7729,2376,3694,0.2714452063656359,-0.0005948519507918801,-0.0007643277191734335
83,7720,2371,3683,0.2727979274611399,-0.0010856815727671928,-0.001395484432542153
84,7683,2382,3676,0.27710529740986595,-0.0004856980605665062,-0.0004970078913169031
85,7709,2371,3646,0.27318718381112983,-0.0008977982983031707,-0.001110074953197436
86,7723,2372,3691,0.26945487504855625,-0.0006676233872165414,-0.0006566855194212712
87,7796,2376,3660,0.2789892252437147,-0.000988879344415188,-0.001292010237228553
88,7718,2373,3678,0.2715729463591604,-0.0008884657034768066,-0.001051216434976446
89,7715,2371,3699,0.2767336357744653,-0.0014927338567633874,-0.0015660383171443042
90,7745,2369,3649,0.2844415752098128,-0.0013122945777182106,-0.0012494429423768408
91,7620,2376,3660,0.2723097112860892,-0.0010780081817615918,-0.0012602546591309431
92,7761,2372,3671,0.27483571704677234,-0.0006660339759006149,-0.0006457363608145869
93,7784,2380,3722,0.27312435765673176,-0.000680863222115664,-0.0008475993917228087
94,7626,2379,3633,0.27327563598216625,-0.0009995351457338232,-0.0008265591766252562
95,7789,2377,3649,0.27564514058287326,-0.000834535096331316,-0.0007226337043151323
96,7770,2376,3669,0.2806949806949807,-0.0003423313835061565,-0.00018649969135410503
97,7798,2379,3687,0.2764811490125673,-0.0014847926140321174,-0.0012915541054446364
98,7706,2379,3680,0.27524007267064626,-0.0010429015862086566,-0.0009057554418982997
99,7718,2374,3678,0.2750712619849702,-0.0011691116526625896,-0.0012655866267535449
100,7679,2369,3679,0.27360333376741763,-0.000842081271166319,-0.0007916906768267044
