outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,draw,fe_spec
peer_car_0_p1_mm,specz_ai_active,-0.00043363043797272976,0.0009190089683640593,-0.4718457086927469,0.6370369223328942,7753,2369,3685,-0.0009891315648657452,0.2708628917838256,0.0,0.0,9,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.00017046764618574786,0.0010424209275223457,-0.16353052944832946,0.8701007376541081,7753,2369,3685,-0.000530164714758117,0.2708628917838256,0.0,0.0,9,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.00017046764618574797,0.0010424209275223457,-0.16353052944832958,0.8701007376541081,7753,2369,3685,-0.000530164714758117,0.2708628917838256,0.0,0.0,9,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0009285689724560249,0.000966371372410296,-0.9608821194071743,0.3366114422048416,7653,2371,3698,-0.0008818434266742945,0.27257284724944464,0.0,0.0,10,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0009285689724560248,0.000966371372410296,-0.9608821194071742,0.3366114422048416,7653,2371,3698,-0.0008818434266742945,0.27257284724944464,0.0,0.0,10,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0004397724802445186,0.0011554744056663198,-0.38059906657206993,0.7035007740259855,7653,2371,3698,-0.0011865493065505881,0.27257284724944464,0.0,0.0,10,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0004397724802445187,0.00115547440566632,-0.38059906657206993,0.7035007740259855,7653,2371,3698,-0.0011865493065505881,0.27257284724944464,0.0,0.0,10,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0003199109375185521,0.0008271043954759331,-0.38678423094882564,0.698915952269846,7701,2380,3640,-0.0006312394407459453,0.2707440592130892,0.0,0.0,11,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0003199109375185521,0.0008271043954759331,-0.38678423094882564,0.698915952269846,7701,2380,3640,-0.0006312394407459453,0.2707440592130892,0.0,0.0,11,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.00046598691308416394,0.0009894061702097902,0.47097635643949715,0.6376576192085961,7701,2380,3640,-0.0006130157653020486,0.2707440592130892,0.0,0.0,11,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.00046598691308416383,0.0009894061702097902,0.47097635643949703,0.6376576192085963,7701,2380,3640,-0.0006130157653020486,0.2707440592130892,0.0,0.0,11,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0014302342531814219,0.0008705151085406461,1.6429746470214668,0.10038817892143537,7680,2374,3725,-0.0010679116075877554,0.2721354166666667,0.0,0.0,12,event_fe
peer_car_0_p1_mm,specz_ai_active,0.001430234253181422,0.0008705151085406461,1.642974647021467,0.10038817892143537,7680,2374,3725,-0.0010679116075877554,0.2721354166666667,0.0,0.0,12,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0016092931431926944,0.0010637325149112176,1.512873885712717,0.13031169638786033,7680,2374,3725,-0.0010540949458419505,0.2721354166666667,0.0,0.0,12,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.001609293143192694,0.0010637325149112176,1.5128738857127166,0.13031169638786033,7680,2374,3725,-0.0010540949458419505,0.2721354166666667,0.0,0.0,12,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0006334148866623786,0.0009127371081808564,-0.693972975334393,0.4876991569235489,7746,2367,3705,-0.0007779535830746766,0.27356054737929253,0.0,0.0,13,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0006334148866623785,0.0009127371081808564,-0.6939729753343928,0.4876991569235489,7746,2367,3705,-0.0007779535830746766,0.27356054737929253,0.0,0.0,13,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0012304103027265857,0.0011537302280384752,-1.0664627421771542,0.28621451233340856,7746,2367,3705,-0.0010058332925944147,0.27356054737929253,0.0,0.0,13,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0012304103027265855,0.0011537302280384752,-1.066462742177154,0.28621451233340856,7746,2367,3705,-0.0010058332925944147,0.27356054737929253,0.0,0.0,13,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.00012656845207474496,0.0008731058958711417,0.14496346053013562,0.8847397212664083,7663,2374,3692,-0.0008305866240119612,0.26673626517029886,0.0,0.0,14,event_fe
peer_car_0_p1_mm,specz_ai_active,0.00012656845207474496,0.0008731058958711417,0.14496346053013562,0.8847397212664083,7663,2374,3692,-0.0008305866240119612,0.26673626517029886,0.0,0.0,14,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.00029871461632703195,0.0010401737557156237,-0.28717761305323536,0.7739763268849114,7663,2374,3692,-0.001561203329008705,0.26673626517029886,0.0,0.0,14,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0002987146163270315,0.0010401737557156237,-0.28717761305323497,0.7739763268849118,7663,2374,3692,-0.001561203329008705,0.26673626517029886,0.0,0.0,14,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0006930009166861772,0.0008011016712799845,0.8650598813243192,0.3870059229107028,7766,2374,3690,-0.0008269453369455654,0.27427246973989183,0.0,0.0,15,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0006930009166861773,0.0008011016712799845,0.8650598813243193,0.38700592291070257,7766,2374,3690,-0.0008269453369455654,0.27427246973989183,0.0,0.0,15,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0009147644267596763,0.001021239951662095,0.8957389742448609,0.37039218960206854,7766,2374,3690,-0.0012606301496798345,0.27427246973989183,0.0,0.0,15,event_fe
