model,outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,ai_def,tau,base_tau,fe,ci_low,ci_high
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_m6,1.0125809348782528e-05,0.0008955546528908735,0.011306746401345975,0.9909787138311796,163721,2177,3345,-0.0005608429138376901,ext_any,-6,-2,pair_id+tau_fe,-0.0017451613103173294,0.0017654129290148946
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_m5,-0.00026503220400517983,0.0009238592106953783,-0.2868751005964352,0.7742079563670428,163721,2177,3345,-0.0005608429138376901,ext_any,-5,-2,pair_id+tau_fe,-0.0020757962569681212,0.0015457318489577616
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_m4,0.000514366217425683,0.0008625714140533101,0.5963172544851959,0.5509633064029333,163721,2177,3345,-0.0005608429138376901,ext_any,-4,-2,pair_id+tau_fe,-0.0011762737541188048,0.002205006188970171
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_m3,0.0006722332707647631,0.0009857659943004477,0.681940008735862,0.49527688555445515,163721,2177,3345,-0.0005608429138376901,ext_any,-3,-2,pair_id+tau_fe,-0.0012598680780641146,0.0026043346195936405
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_m1,0.00011124897336422471,0.000889798571972711,0.12502714307304663,0.900502061873728,163721,2177,3345,-0.0005608429138376901,ext_any,-1,-2,pair_id+tau_fe,-0.0016327562277022888,0.0018552541744307383
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_p0,-0.00010674313285704766,0.0009694166453941858,-0.11011068704482951,0.9123215926614461,163721,2177,3345,-0.0005608429138376901,ext_any,0,-2,pair_id+tau_fe,-0.0020067997578296515,0.0017933134921155564
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_p1,-0.0006190864057262301,0.000984903276235304,-0.6285758415715978,0.5296267804190691,163721,2177,3345,-0.0005608429138376901,ext_any,1,-2,pair_id+tau_fe,-0.002549496827147426,0.0013113240156949657
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_p2,-0.00048792212097361487,0.0009178458683940588,-0.5315948328310557,0.5950066443252924,163721,2177,3345,-0.0005608429138376901,ext_any,2,-2,pair_id+tau_fe,-0.00228690002302597,0.0013110557810787405
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_p3,-8.247014628956075e-05,0.0009431300325613678,-0.08744302847146855,0.9303193685671414,163721,2177,3345,-0.0005608429138376901,ext_any,3,-2,pair_id+tau_fe,-0.0019310050101098417,0.00176606471753072
daily_event_time_ext_any,abret_mm,spec_ai_ext_any_tau_p4,0.0009593407837321658,0.0009953466207880896,0.9638258308171928,0.3351332539236991,163721,2177,3345,-0.0005608429138376901,ext_any,4,-2,pair_id+tau_fe,-0.00099153859301249,0.0029102201604768213
