outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,draw,fe_spec
peer_car_m1_p1_mm,specz_ai_active,-0.00021945918662215794,0.0006616284287742915,-0.3316955213498307,0.7401191828518956,20070,2599,4636,-0.0006312685315950586,0.2783258594917788,9,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.00021945918662215805,0.0006616284287742915,-0.3316955213498308,0.7401191828518956,20070,2599,4636,-0.0006312685315950586,0.2783258594917788,9,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0003360450337904873,0.0004847665186176429,0.6932100730651762,0.48817772763107614,20122,2599,4674,-0.0006028058448710436,0.27686114700328,10,event_fe
peer_car_0_p1_mm,specz_ai_active,0.00033604503379048743,0.0004847665186176429,0.6932100730651765,0.48817772763107614,20122,2599,4674,-0.0006028058448710436,0.27686114700328,10,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.00013762318726193254,0.0006192709581681699,-0.22223420208341085,0.8241315703315912,20122,2599,4674,-0.0005590613868980342,0.27686114700328,10,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.00013762318726193254,0.0006192709581681698,-0.2222342020834109,0.8241315703315912,20122,2599,4674,-0.0005590613868980342,0.27686114700328,10,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0006272740997099672,0.0005578661996721622,-1.1244167509675143,0.26083626906023305,20135,2599,4659,-0.0005651738540124018,0.27618574621306186,11,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.000627274099709967,0.0005578661996721622,-1.1244167509675138,0.26083626906023305,20135,2599,4659,-0.0005651738540124018,0.27618574621306186,11,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0004762575261630186,0.0006152590727116491,-0.7740763968973183,0.4388856144801574,20135,2599,4659,-0.00045816381445421754,0.27618574621306186,11,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0004762575261630185,0.0006152590727116491,-0.7740763968973182,0.4388856144801574,20135,2599,4659,-0.00045816381445421754,0.27618574621306186,11,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.00048563429401744416,0.0004933047615275576,0.9844508545055166,0.3248938841960145,20223,2599,4649,-0.0005491781687065572,0.27770360480640854,12,event_fe
peer_car_0_p1_mm,specz_ai_active,0.00048563429401744394,0.0004933047615275576,0.9844508545055162,0.32489388419601495,20223,2599,4649,-0.0005491781687065572,0.27770360480640854,12,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.00039380399413271606,0.0006217256172183547,0.6334048062787304,0.5264693271773899,20223,2599,4649,-0.0003513545593507663,0.27770360480640854,12,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0003938039941327163,0.0006217256172183548,0.6334048062787306,0.5264693271773897,20223,2599,4649,-0.0003513545593507663,0.27770360480640854,12,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0003443906536214453,0.0005781623171019991,0.5956643029723573,0.5513995099586586,20221,2599,4676,-0.0005812883372522344,0.2774838039661738,13,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0003443906536214453,0.0005781623171019991,0.5956643029723573,0.5513995099586586,20221,2599,4676,-0.0005812883372522344,0.2774838039661738,13,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0002911784067041535,0.0006692764957259252,0.4350644443121064,0.6635156508134872,20221,2599,4676,-0.0006683236960154762,0.2774838039661738,13,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.00029117840670415333,0.0006692764957259252,0.43506444431210617,0.6635156508134872,20221,2599,4676,-0.0006683236960154762,0.2774838039661738,13,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.00022613796460318165,0.0004974843320799963,-0.45456298826074043,0.6494236669868956,20043,2598,4672,-0.0010536795819391502,0.27326248565583994,14,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0002261379646031816,0.0004974843320799963,-0.4545629882607403,0.6494236669868956,20043,2598,4672,-0.0010536795819391502,0.27326248565583994,14,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0001262937206969917,0.0006389221393372657,0.1976668406388176,0.8433057351146114,20043,2598,4672,-0.0010349515450895348,0.27326248565583994,14,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.00012629372069699148,0.0006389221393372657,0.19766684063881726,0.8433057351146118,20043,2598,4672,-0.0010349515450895348,0.27326248565583994,14,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.00018664300593142273,0.0005825016255309124,0.3204162834074665,0.7486527833421501,20159,2600,4661,-0.0006250981157885185,0.27491443027927975,15,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0001866430059314228,0.0005825016255309124,0.3204162834074666,0.7486527833421501,20159,2600,4661,-0.0006250981157885185,0.27491443027927975,15,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,7.479529678945657e-06,0.0006501022380409699,0.011505159098489816,0.9908204137011436,20159,2600,4661,-0.0004952182632877085,0.27491443027927975,15,event_fe
peer_car_m1_p1_mm,specz_ai_active,7.479529678945765e-06,0.0006501022380409699,0.011505159098489983,0.9908204137011436,20159,2600,4661,-0.0004952182632877085,0.27491443027927975,15,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,6.069082252534841e-05,0.0005206434276063115,0.116568882477549,0.9072016977567168,20185,2597,4667,-0.0009688539738100792,0.2768392370572207,16,event_fe
peer_car_0_p1_mm,specz_ai_active,6.0690822525348535e-05,0.0005206434276063115,0.11656888247754923,0.9072016977567166,20185,2597,4667,-0.0009688539738100792,0.2768392370572207,16,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0006415588610225182,0.0006589785582029604,0.9735656085261016,0.33027226937225707,20185,2597,4667,-0.000860946045968971,0.2768392370572207,16,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0006415588610225179,0.0006589785582029604,0.9735656085261012,0.3302722693722573,20185,2597,4667,-0.000860946045968971,0.2768392370572207,16,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0005391097899907052,0.0005697523342447927,-0.946217781986441,0.34403751828219553,20140,2599,4656,-0.0008669139922642637,0.27874875868917576,17,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0005391097899907054,0.0005697523342447927,-0.9462177819864415,0.3440375182821951,20140,2599,4656,-0.0008669139922642637,0.27874875868917576,17,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0003285930413389478,0.0006587465325069499,-0.4988155916182847,0.6179093024962226,20140,2599,4656,-0.000888011175498091,0.27874875868917576,17,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0003285930413389477,0.0006587465325069499,-0.49881559161828454,0.6179093024962228,20140,2599,4656,-0.000888011175498091,0.27874875868917576,17,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0007792195178299326,0.0004998560226414994,-1.5588879247910852,0.11902290882167943,20269,2597,4658,-0.0008888808262339208,0.2768266811386847,18,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0007792195178299324,0.0004998560226414994,-1.5588879247910847,0.11902290882167943,20269,2597,4658,-0.0008888808262339208,0.2768266811386847,18,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.00023483867332935187,0.0005823141764022765,-0.40328517292891686,0.6867384480420673,20269,2597,4658,-0.0007899669932132447,0.2768266811386847,18,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.00023483867332935187,0.0005823141764022765,-0.40328517292891686,0.6867384480420673,20269,2597,4658,-0.0007899669932132447,0.2768266811386847,18,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.000589640700907611,0.0004859736507083816,-1.2133182530536764,0.22500816687806768,20132,2598,4674,-0.0008832790381219107,0.2762765746075899,19,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0005896407009076108,0.0004859736507083816,-1.213318253053676,0.22500816687806768,20132,2598,4674,-0.0008832790381219107,0.2762765746075899,19,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.000948668715685997,0.0006125609805133644,-1.548692694874155,0.12145561079948664,20132,2598,4674,-0.0009184558871909249,0.2762765746075899,19,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0009486687156859969,0.0006125609805133645,-1.5486926948741546,0.12145561079948664,20132,2598,4674,-0.0009184558871909249,0.2762765746075899,19,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.00035302632669008074,0.0005128017474241978,0.6884265283091004,0.49118422290362496,20117,2597,4652,-0.0007293284772687483,0.27668141372968136,20,event_fe
peer_car_0_p1_mm,specz_ai_active,0.00035302632669008085,0.0005128017474241978,0.6884265283091007,0.49118422290362496,20117,2597,4652,-0.0007293284772687483,0.27668141372968136,20,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0008532200264299409,0.0006702735661798034,1.272942973557548,0.20303827851138267,20117,2597,4652,-0.00042725790276126717,0.27668141372968136,20,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0008532200264299408,0.0006702735661798034,1.272942973557548,0.20303827851138267,20117,2597,4652,-0.00042725790276126717,0.27668141372968136,20,event_fe_peer_industry_week_fe
