outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_group,top_n,sample,fe_spec,model
peer_car_m1_p1_mm,specz_ai_active,0.00020769767605215275,0.0006515909426833689,0.31875470091222613,0.749912531163708,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_m1_p1_mm,product_similarity,-0.021711273102272142,0.027604525406648556,-0.7865113702350767,0.4315679604564655,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe,M2_plus_similarity
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.002070248360404659,0.0006978673372381899,-2.9665356865642507,0.003011754068668049,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_0_p1_mm,specz_ai_active,0.00010945631892143888,0.0005052142612061347,0.21665326441919092,0.8284785724463464,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.002076371573999185,0.0006973794556204317,-2.977391371748852,0.0029071264351809845,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_0_p1_mm,specz_ai_active,0.0001092238849672795,0.0005047994101222798,0.21637086489625992,0.8286986748091028,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_0_p1_mm,product_similarity,-0.04310811036688105,0.022590406834313046,-1.9082485181897315,0.05635910344814654,19198,2598,2843,-0.0015732596401669544,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.002842723115621949,0.0008908419786568967,-3.191052042594425,0.0014175574351695808,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_m1_p1_mm,specz_ai_active,0.00020781474073009994,0.0006517064212774401,0.31887784736377556,0.7498191433326249,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M1
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.002845807054154233,0.0008911684888742944,-3.1933434470388393,0.0014063557117864889,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,specz_ai_active,0.00020769767605215267,0.0006515909426833688,0.3187547009122261,0.749912531163708,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_m1_p1_mm,product_similarity,-0.021711273102272135,0.027604525406648556,-0.7865113702350763,0.4315679604564657,19198,2598,2843,-0.0017552487311726414,0.25294301489738513,low_similarity_same_industry,10,first_focal_event_clean,event_fe_peer_industry_week_fe,M2_plus_similarity
peer_car_0_p1_mm,ai_active_peer_tminus5,0.00024900916215334735,0.0006719293475552559,0.3705883111957246,0.7109441894350927,20073,2598,4658,-0.0008641461098959014,0.28057589797240073,random_same_industry_one_draw,10,first_focal_event_clean,event_fe,M1
