model,sample_name,top_n,clean,outcome,covariance,term,coef,se,z,p,nobs,events,focal_firms,peer_firms,mean_y,mean_ai_active
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_ar0_ma,twoway_event_peer,specz_ai_active,-0.00016275875326784446,0.00015856708381968934,-1.0264346757673968,0.30468674020645126,176129,20116,2652,4926,-0.00017846628891323872,0.5451402097326391
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_ar0_ma,twoway_event_peer,product_similarity,0.0003480582563425693,0.001375988755412123,0.25295138130567224,0.8003057836687539,176129,20116,2652,4926,-0.00017846628891323872,0.5451402097326391
M1_specz_x_ai_active,all_events,10,clean_m1_p1,peer_car_0_p1_ma,event_cluster,ai_active_peer_tminus5,-0.0002503340088698189,0.0002206480519615366,-1.1345398549607733,0.25656816573797814,176129,20116,2652,4926,-0.0007771881291553338,0.5451402097326391
M1_specz_x_ai_active,all_events,10,clean_m1_p1,peer_car_0_p1_ma,event_cluster,specz_ai_active,-0.00013981524847362522,0.0002244897969193776,-0.6228133767871773,0.533407166834075,176129,20116,2652,4926,-0.0007771881291553338,0.5451402097326391
M1_specz_x_ai_active,all_events,10,clean_m1_p1,peer_car_0_p1_ma,twoway_event_peer,ai_active_peer_tminus5,-0.0002503340088698189,0.00026553727230261767,-0.9427452752641351,0.3458112092105283,176129,20116,2652,4926,-0.0007771881291553338,0.5451402097326391
M1_specz_x_ai_active,all_events,10,clean_m1_p1,peer_car_0_p1_ma,twoway_event_peer,specz_ai_active,-0.00013981524847362522,0.00023142410893634626,-0.6041516120175783,0.5457428480940829,176129,20116,2652,4926,-0.0007771881291553338,0.5451402097326391
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_car_0_p1_ma,event_cluster,ai_active_peer_tminus5,-0.00025111322227013905,0.00022075417733055764,-1.1375242149738427,0.2553192076353783,176129,20116,2652,4926,-0.0007771881291553338,0.5451402097326391
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_car_0_p1_ma,event_cluster,specz_ai_active,-0.0001398000355251521,0.000224489213218313,-0.6227472292363477,0.5334506410862885,176129,20116,2652,4926,-0.0007771881291553338,0.5451402097326391
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_car_0_p1_ma,event_cluster,product_similarity,0.00025002272120932623,0.0019227202301737478,0.13003593413417863,0.8965379967181053,176129,20116,2652,4926,-0.0007771881291553338,0.5451402097326391
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_car_0_p1_ma,twoway_event_peer,ai_active_peer_tminus5,-0.00025111322227013905,0.0002652756950393158,-0.9466122489394373,0.34383639997591464,176129,20116,2652,4926,-0.0007771881291553338,0.5451402097326391
M2_plus_similarity_control,all_events,10,clean_m1_p1,peer_car_0_p1_ma,twoway_event_peer,specz_ai_active,-0.0001398000355251521,0.00023141550339638865,-0.6041083396460712,0.5457716153126135,176129,20116,2652,4926,-0.0007771881291553338,0.5451402097326391
